Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,161.149994,163.380005,160.199997,162.279999,161.837952,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,165.009308,24899900
2020-01-29,167.839996,168.75,165.690002,168.039993,167.58226,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,172.309357,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,169.766296,36142700
2020-02-03,170.429993,174.5,170.399994,174.380005,173.904999,30149100
2020-02-04,177.139999,180.639999,176.309998,180.119995,179.629364,36433300
2020-02-05,184.029999,184.199997,178.410004,179.899994,179.409958,39186300
2020-02-06,180.970001,183.820007,180.059998,183.630005,183.129807,27751400
2020-02-07,182.850006,185.630005,182.479996,183.889999,183.389099,33529100
2020-02-10,183.580002,188.839996,183.25,188.699997,188.185989,35844300
2020-02-11,190.649994,190.699997,183.5,184.440002,183.937607,53159900
2020-02-12,185.580002,185.850006,181.850006,184.710007,184.206863,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,183.209595,35295800
2020-02-14,183.25,185.410004,182.649994,185.350006,184.845123,23149500
2020-02-18,185.610001,187.699997,185.5,187.229996,186.720001,27792200
2020-02-19,188.059998,188.179993,186.470001,187.279999,187.279999,29997500
2020-02-20,186.949997,187.25,181.100006,184.419998,184.419998,36862400
2020-02-21,183.169998,183.5,177.25,178.589996,178.589996,48572600
2020-02-24,167.770004,174.550003,163.229996,170.889999,170.889999,68311100
